,Location,FIPS,Category,"% Change in Mortality Rate, 1980-201",1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,Premium
0,Alabama,1,Neonatal disorders,-53.82,11.03,8.51,7.52,6.08,6.21,6.32,5.58,5.1,3.85,3.14,Decrease
1,Alabama,1,HIV/AIDS and tuberculosis,101.52,1.46,2.15,8.03,14.1,5.47,4.67,3.35,2.94,5.15,5.12,Decrease
2,Alabama,1,Musculoskeletal disorders,-1.56,3.26,3.29,3.42,3.67,3.97,3.74,3.27,3.21,3.52,3.53,Increase
3,Alabama,1,"Diabetes, urogenital, blood, and endocrine diseases",22.44,57.83,58.79,61.83,68.46,74.81,76.62,72.34,70.81,78.9,81.39,Increase
4,Alabama,1,Digestive diseases,-22.56,22.13,21.51,20.58,20.16,19.56,18.75,17.42,17.13,16.36,15.63,Decrease
5,Alabama,1,Chronic respiratory diseases,73.08,42.43,46.29,49.95,57.0,65.65,69.21,70.86,73.44,81.12,85.96,Increase
6,Alabama,1,Neurological disorders,58.92,74.97,78.36,82.93,92.25,103.69,113.62,116.86,119.14,130.15,137.35,Increase
7,Alabama,1,Cirrhosis and other chronic liver diseases,23.3,17.65,17.3,16.58,16.54,17.19,19.44,21.01,21.76,21.46,22.14,Increase
8,Alabama,1,Mental and substance use disorders,272.34,3.85,4.06,4.55,5.22,6.72,9.77,12.34,14.33,14.67,16.24,Increase
9,Alabama,1,"Forces of nature, war, and legal intervention",-76.01,0.42,0.36,0.32,0.34,0.47,1.81,0.39,0.1,0.66,0.69,Increase
10,Alabama,1,Unintentional injuries,-29.97,32.87,28.39,26.44,24.97,24.06,24.83,23.81,23.02,20.82,19.66,Decrease
11,Alabama,1,Nutritional deficiencies,-3.48,2.06,2.1,2.17,2.45,2.59,2.13,1.93,1.99,2.11,2.09,Decrease
12,Alabama,1,"Other communicable, maternal, neonatal, and nutritional diseases",-21.04,1.89,2.08,2.56,3.17,3.38,2.18,1.5,1.49,1.93,1.85,Decrease
13,Alabama,1,Cardiovascular diseases,-39.91,516.87,485.17,436.61,414.45,397.4,352.09,310.55,310.59,264.34,233.54,Decrease
14,Alabama,1,"Diarrhea, lower respiratory, and other common infectious diseases",15.91,35.18,37.66,39.11,42.84,43.2,40.62,39.6,40.77,42.75,43.39,Increase
15,Alabama,1,Maternal disorders,35.03,0.3,0.27,0.31,0.29,0.28,0.39,0.42,0.4,0.42,0.44,Increase
16,Alabama,1,Other non-communicable diseases,-31.33,11.07,10.42,10.06,8.91,8.26,8.12,7.63,7.6,6.61,6.08,Decrease
17,Alabama,1,Self-harm and interpersonal violence,-12.03,30.16,28.2,28.77,28.32,25.34,26.49,26.09,26.53,25.03,24.49,Decrease
18,Alabama,1,Neoplasms,-8.56,252.6,252.43,253.15,257.15,248.6,240.58,229.62,230.98,228.94,225.23,Decrease
19,Alabama,1,Transport injuries,-27.57,33.43,30.47,30.88,29.58,29.08,29.49,25.26,24.21,23.95,22.81,Decrease
20,Alabama,1,Neglected tropical diseases and malaria,7.74,0.05,0.04,0.03,0.03,0.03,0.06,0.06,0.05,0.05,0.06,Increase
21,Alaska,2,Neonatal disorders,-71.35,8.19,5.79,4.83,3.59,3.37,3.32,2.69,2.35,0.99,0.26,Decrease
22,Alaska,2,HIV/AIDS and tuberculosis,-56.38,2.91,2.55,5.49,8.19,2.84,2.34,1.5,1.27,1.7,1.32,Decrease
